torch._C._nn._upsample_bicubic2d_aa _upsample_bicubic2d_aa /home/sjy/code/pytorch/aten/src/ATen/native/UpSampleBicubic2d.cpp
torch._C._nn._upsample_bilinear2d_aa _upsample_bilinear2d_aa /home/sjy/code/pytorch/aten/src/ATen/native/UpSampleBilinear2d.cpp
torch._C._nn._upsample_nearest_exact1d _upsample_nearest_exact1d /home/sjy/code/pytorch/aten/src/ATen/native/UpSampleNearest1d.cpp
torch._C._nn._upsample_nearest_exact2d _upsample_nearest_exact2d /home/sjy/code/pytorch/aten/src/ATen/native/UpSampleNearest2d.cpp
torch._use_cudnn_rnn_flatten_weight _use_cudnn_rnn_flatten_weight /home/sjy/code/pytorch/aten/src/ATen/native/RNN.cpp
torch.abs abs /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.absolute absolute /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.adaptive_avg_pool1d adaptive_avg_pool1d /home/sjy/code/pytorch/aten/src/ATen/native/Pooling.cpp
torch._C._nn.adaptive_avg_pool3d adaptive_avg_pool3d /home/sjy/code/pytorch/aten/src/ATen/native/AdaptiveAveragePooling3d.cpp
torch.adaptive_max_pool1d adaptive_max_pool1d /home/sjy/code/pytorch/aten/src/ATen/native/Pooling.cpp
torch.add binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.addbmm addbmm /home/sjy/code/pytorch/aten/src/ATen/native/LinearAlgebra.cpp
torch.addr addr /home/sjy/code/pytorch/aten/src/ATen/native/LinearAlgebra.cpp
torch.adjoint adjoint /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.affine_grid_generator affine_grid_generator /home/sjy/code/pytorch/aten/src/ATen/native/AffineGridGenerator.cpp
torch.align_tensors align_tensors /home/sjy/code/pytorch/aten/src/ATen/native/NamedTensor.cpp
torch.all all /home/sjy/code/pytorch/aten/src/ATen/native/ReduceOps.cpp
torch.allclose allclose /home/sjy/code/pytorch/aten/src/ATen/native/TensorCompare.cpp
torch.alpha_dropout alpha_dropout /home/sjy/code/pytorch/aten/src/ATen/native/Dropout.cpp
torch.angle angle /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.any any /home/sjy/code/pytorch/aten/src/ATen/native/ReduceOps.cpp
