api_name op_name file_path
tf.raw_ops.ApplyRMSProp ApplyRMSPropOp /home/sjy/code/tensorflow/tensorflow/core/kernels/training_ops.cc
tf.raw_ops.ApproximateEqual ApproximateEqualOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.ArgMax ArgOp /home/sjy/code/tensorflow/tensorflow/core/kernels/argmax_op.cc
tf.raw_ops.ArgMin ArgOp /home/sjy/code/tensorflow/tensorflow/core/kernels/argmax_op.cc
tf.raw_ops.Asin UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Asinh UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Assign AssignOpT /home/sjy/code/tensorflow/tensorflow/core/kernels/dense_update_ops.cc
tf.raw_ops.AssignAdd DenseUpdateOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dense_update_ops.cc
tf.raw_ops.AssignSub DenseUpdateOp /home/sjy/code/tensorflow/tensorflow/core/kernels/dense_update_ops.cc
tf.raw_ops.Atan UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Atan2 BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Atanh UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.AudioSpectrogram AudioSpectrogramOp /home/sjy/code/tensorflow/tensorflow/core/kernels/spectrogram_op.cc
tf.raw_ops.AudioSummaryV2 SummaryAudioOp /home/sjy/code/tensorflow/tensorflow/core/kernels/summary_audio_op.cc
tf.raw_ops.AvgPool AvgPoolingOp /home/sjy/code/tensorflow/tensorflow/core/kernels/avgpooling_op.cc
tf.raw_ops.AvgPool3D Pooling3DOp /home/sjy/code/tensorflow/tensorflow/core/kernels/pooling_ops_3d.cc
tf.raw_ops.AvgPool3DGrad AvgPooling3dGradOp /home/sjy/code/tensorflow/tensorflow/core/kernels/pooling_ops_3d.cc
tf.raw_ops.AvgPoolGrad AvgPoolingGradOp /home/sjy/code/tensorflow/tensorflow/core/kernels/avgpooling_op.cc
